Rank,Movie Title,Opening,"% of
Total",Total Gross
124,Kingsman: The Golden Circle,"$39,018,292",54.5%,"$71,546,430"
125,Looking Up,"$38,882,507",31.7%,"$122,833,491"
126,Captain America: The Winter Soldier,"$38,810,000",33.6%,"$115,620,000"
127,Kung Fu Yoga,"$38,784,776",15.2%,"$254,531,595"
128,Stand by Me Doraemon,"$38,480,000",44.3%,"$86,920,000"
129,Goldbuster,"$38,476,763",67.1%,"$57,366,402"
130,From Vegas to Macau 3 (Du cheng feng yun III),"$38,375,088",22.3%,"$172,104,369"
131,Jade Dynasty,"$38,281,436",100.0%,"$38,281,436"
132,Once Upon A Time,"$38,258,868",46.5%,"$82,313,686"
133,Monk Comes Down the Mountain,"$38,250,000",59.5%,"$64,260,000"
134,Somewhere Only We Know,"$37,720,000",83.5%,"$45,160,000"
135,Independence Day: Resurgence,"$37,719,504",50.1%,"$75,359,650"
136,Wonder Woman,"$37,676,314",41.6%,"$90,498,909"
137,Project Gutenberg,"$37,480,637",20.4%,"$183,354,997"
138,Running Man (2015),"$37,050,000",54.1%,"$68,450,000"
139,Godzilla (2014),"$37,000,000",47.7%,"$77,630,000"
140,Legend of the Demon Cat,"$36,903,380",43.9%,"$84,089,891"
141,How Long Will I Love You,"$36,693,056",27.1%,"$135,346,907"
142,Fantastic Beasts: The Crimes of Grindelwald,"$36,681,320",64.0%,"$57,300,000"
143,Fei Cheng Wu Rao 2 (If You Are the One 2),"$36,158,192",48.2%,"$75,009,509"
144,The White Haired Witch of Lunar Kingdom,"$35,980,000",58.2%,"$61,850,000"
145,Silent Separation,"$35,890,000",63.4%,"$56,640,000"
146,Gravity,"$35,760,000",50.6%,"$70,680,000"
147,Animal World,"$35,132,306",47.1%,"$74,559,221"
148,I Belonged to You,"$35,069,681",29.7%,"$118,084,717"
149,Skyfall,"$34,230,000",57.8%,"$59,234,352"
150,The Martian,"$34,115,897",35.9%,"$94,932,731"
151,Big Fish & Begonia (Da Hai),"$33,713,620",39.7%,"$85,023,628"
152,Back in Time (Congcong Nanian),"$33,600,000",35.9%,"$93,470,000"
153,Beijing Love Story,"$33,540,000",51.4%,"$65,290,000"
154,G.I. Joe: Retaliation,"$33,530,000",62.3%,"$53,840,000"
155,Geostorm,"$33,498,579",51.0%,"$65,667,015"
156,The Hobbit: The Desolation of Smaug,"$33,040,000",44.2%,"$74,730,000"
157,The Left Ear,"$32,870,000",42.2%,"$77,920,000"
158,Switch (2013),"$32,840,000",70.1%,"$46,820,000"
159,Boonie Bears: The Big Shrink,"$32,499,377",33.7%,"$96,509,976"
160,Wolf Warrior,"$32,450,000",39.9%,"$81,273,855"
161,How to Train Your Dragon: The Hidden World,"$32,283,938",59.2%,"$54,541,969"
162,Jurassic Park (3D),"$32,080,000",57.4%,"$55,890,000"
163,Dark Phoenix,"$31,855,249",53.9%,"$59,090,000"
164,Paradox,"$31,853,577",40.2%,"$79,214,898"
165,Minions,"$31,270,000",45.7%,"$68,490,000"
166,Snow Girl and the Dark Crystal,"$31,170,000",49.0%,"$63,620,000"
167,The Revenant,"$31,027,664",52.9%,"$58,684,119"
168,Railroad Tigers,"$30,723,806",30.3%,"$101,519,156"
169,Star Trek Beyond,"$30,448,292",46.7%,"$65,170,090"
170,Mr. Six,"$30,271,651",22.1%,"$137,268,153"
171,Rogue One: A Star Wars Story,"$30,078,393",43.3%,"$69,484,899"
172,Guardians of the Galaxy,"$30,070,000",34.8%,"$86,346,366"
173,Go Away Mr. Tumor,"$29,870,000",37.3%,"$80,120,000"
174,League of Gods,"$29,782,438",69.8%,"$42,682,491"
175,Bleeding Steel,"$29,733,949",62.4%,"$47,628,513"
176,Harry Potter and the Deathly Hallows (Part Two),"$29,716,871",48.9%,"$60,800,000"
177,Shazam!,"$29,652,097",67.7%,"$43,800,000"
178,Dunkirk,"$29,638,159",58.1%,"$50,970,494"
179,I Am Not Madame Bovary,"$29,411,094",41.9%,"$70,174,367"
180,L Storm,"$29,316,564",45.9%,"$63,894,019"
181,The Angry Birds Movie,"$29,164,758",38.4%,"$75,872,971"
182,Let the Bullets Fly,"$28,588,625",27.8%,"$102,685,432"
183,Alien: Covenant,"$28,227,795",62.2%,"$45,400,330"
184,L.O.R.D: Legend of Ravaging Dynasties (Jue ji),"$28,186,202",50.1%,"$56,211,456"
185,Star Wars: The Last Jedi,"$28,137,073",66.1%,"$42,577,974"
186,Boonie Bears: Blast Into the Past,"$27,894,234",26.2%,"$106,344,549"
187,Sen to Chihiro no Kamikakushi (Spirited Away),"$27,842,673",40.3%,"$69,010,962"
188,Line Walker 2 Invisible Spy,"$27,773,856",28.2%,"$98,455,133"
189,The Thousand Faces Of Dunjia,"$27,740,653",60.2%,"$46,105,498"
190,Hollywood Adventures,"$27,630,000",53.5%,"$51,620,000"
191,Line Walker,"$27,239,877",31.0%,"$87,941,104"
192,Secret Superstar,"$27,180,512",23.1%,"$117,703,966"
193,Firestorm (2013),"$27,020,000",53.2%,"$50,770,000"
194,Tiny Times 2,"$26,910,000",57.0%,"$47,220,000"
195,Alice Through the Looking Glass,"$26,670,561",45.4%,"$58,780,778"
196,Teenage Mutant Ninja Turtles (2014),"$26,510,000",42.7%,"$62,130,000"
197,Never Gone,"$26,355,386",54.0%,"$48,834,264"
198,How to Train Your Dragon 2,"$26,320,000",40.4%,"$65,100,000"
199,Night at the Museum: Secret of the Tomb,"$26,230,000",55.7%,"$47,072,923"
200,Man of Steel,"$25,930,000",40.9%,"$63,440,000"
201,Spider-Man: Into The Spider-Verse,"$25,885,629",41.2%,"$62,897,624"
202,Star Trek Into Darkness,"$25,870,000",45.3%,"$57,045,659"
203,Hanson and the Beast,"$25,827,918",56.0%,"$46,154,323"
204,Yi dai zong shi (The Grandmaster),"$25,780,000",56.9%,"$45,270,000"
205,My Beloved Bodyguard,"$25,701,315",52.1%,"$49,371,457"
206,Edge of Tomorrow,"$25,680,000",39.1%,"$65,660,000"
207,Teenage Mutant Ninja Turtles: Out of the Shadows,"$25,523,972",43.3%,"$58,933,101"
208,Men in Black International,"$25,274,565",56.8%,"$44,474,756"
209,The House That Never Dies,"$25,100,000",38.5%,"$65,220,000"
210,Cinderella (2015),"$25,010,000",34.9%,"$71,570,000"
211,Wolf Totem,"$24,810,000",22.5%,"$110,460,000"
212,Kill Mobile,"$24,559,730",25.9%,"$94,768,221"
213,London Has Fallen,"$24,530,562",46.9%,"$52,302,200"
214,Shock Wave,"$24,482,861",41.7%,"$58,716,549"
215,Operation MeKong,"$24,467,910",14.2%,"$172,477,764"
216,Doraemon the Movie: Nobita's Treasure Island,"$24,423,634",77.3%,"$31,578,357"
217,The Founding of an Army,"$24,269,278",40.0%,"$60,600,361"
218,Mechanic: Resurrection,"$24,245,249",49.2%,"$49,243,215"
219,Bride Wars (2015),"$24,220,000",87.5%,"$27,670,000"
220,The Breakup Guru,"$24,180,000",22.7%,"$106,590,000"
221,Fast & Furious 6,"$24,130,000",36.3%,"$66,490,000"
222,Overheard 3,"$24,100,000",48.5%,"$49,650,000"
223,Jason Bourne,"$23,930,064",35.8%,"$66,904,818"
224,Guilty of Mind,"$23,889,369",52.3%,"$45,698,503"
225,Zootopia,"$23,627,192",10.0%,"$235,591,257"
226,Ice Age: Collision Course,"$23,123,093",35.0%,"$66,059,140"
227,The Hundred Regiments Offensive,"$23,110,000",36.5%,"$63,230,000"
228,Love on the Cloud (Wei Ai),"$23,100,000",51.3%,"$45,040,000"
229,Jupiter Ascending,"$23,080,000",51.7%,"$44,620,000"
230,Some Like It Hot (2016),"$23,065,284",24.1%,"$95,620,411"
231,The Devotion of Suspect X,"$23,014,128",39.5%,"$58,320,490"
232,Zhi wo men zhong jiang shi qu de qing chun (So Young),"$22,980,000",20.0%,"$114,710,000"
233,Let's Get Married,"$22,910,000",50.4%,"$45,420,000"
234,Golden Job,"$22,886,453",50.0%,"$45,776,274"
235,Maze Runner: The Death Cure,"$22,730,844",46.7%,"$48,720,608"
236,Kingsman: The Secret Service,"$22,554,236",30.2%,"$74,667,000"
237,Detective Conan: The Fist of Blue Sapphire,"$22,521,240",99.2%,"$22,696,258"
238,The Great Hypnotist,"$22,280,000",50.6%,"$44,050,000"
239,Once Upon a Deadpool,"$22,118,682",52.1%,"$42,453,208"
240,Maleficent,"$22,010,000",46.1%,"$47,720,000"
241,The Foreigner,"$22,008,192",27.1%,"$81,205,559"
242,No Man's Land (2013),"$21,970,000",52.6%,"$41,800,000"
243,Namiya,"$21,958,351",62.3%,"$35,245,184"
244,The Hunger Games: Mockingjay - Part 1,"$21,920,000",60.0%,"$36,512,218"
245,The Adventurers,"$21,860,217",59.9%,"$36,486,465"
246,Battle of Memories,"$21,828,781",50.7%,"$43,052,147"
247,MIB 3,"$21,697,520",28.1%,"$77,246,700"
248,Chongqing Hot Pot,"$21,590,709",37.8%,"$57,098,935"
249,My Best Summer,"$21,550,349",36.1%,"$59,748,590"
250,Ghost in the Shell (2017),"$21,425,011",73.1%,"$29,327,947"
251,The Liquidator,"$21,316,330",60.9%,"$34,989,022"
252,Forever Young (2018),"$21,209,981",17.8%,"$119,035,157"
253,Need for Speed,"$21,090,000",31.8%,"$66,240,000"
254,Incredibles 2,"$20,985,934",40.8%,"$51,473,064"
255,Thor: The Dark World,"$20,980,000",37.9%,"$55,340,000"
256,Escape Plan,"$20,810,000",50.8%,"$40,930,000"
257,Chek dou,"$20,810,000",62.7%,"$33,180,000"
258,Robocop (2014),"$20,670,000",40.7%,"$50,820,000"
259,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$20,669,218",54.0%,"$38,262,712"
260,Chasing the Dragon 2: Wild Wild Bunch,"$20,381,690",46.0%,"$44,317,868"
261,Where Are We Going Dad? 2,"$20,290,000",58.2%,"$34,840,000"
262,Black and White: Episode 2,"$20,080,000",62.6%,"$32,090,000"
263,Miss Granny (2015),"$20,050,000",34.0%,"$59,010,000"
264,Lucy,"$20,020,000",44.7%,"$44,780,000"
265,The Dead End,"$19,850,000",41.7%,"$47,600,000"
266,Gods of Egypt,"$19,775,819",55.6%,"$35,598,525"
267,Don't Go Breaking My Heart 2,"$19,670,000",62.2%,"$31,630,000"
268,Europe Raiders,"$19,647,415",87.7%,"$22,400,790"
269,The Predator (2018),"$19,516,425",62.5%,"$31,230,913"
270,Ralph Breaks the Internet,"$19,391,811",49.4%,"$39,259,191"
271,Say Yes!,"$19,300,000",61.7%,"$31,260,000"
272,Murder on the Orient Express (2017),"$18,918,641",54.5%,"$34,685,958"
273,The Hobbit: An Unexpected Journey,"$18,700,000",37.6%,"$49,730,000"
274,The Crossing: Part 1,"$18,620,000",57.5%,"$32,380,000"
275,White House Down,"$18,600,000",65.3%,"$28,470,000"
276,Aladdin (2019),"$18,598,690",34.8%,"$53,481,575"
277,Duckweed,"$18,458,905",12.1%,"$152,405,087"
278,Love O2O,"$18,308,586",45.8%,"$39,969,537"
279,A Chinese Odyssey: Part Three,"$18,190,597",34.2%,"$53,160,819"
280,The Wolverine,"$18,170,000",44.8%,"$40,570,000"
281,Love and Lost (Shi Gu),"$18,170,000",53.2%,"$34,180,000"
282,Bodies at Rest,"$17,894,048",70.7%,"$25,293,853"
283,Coco,"$17,887,167",9.5%,"$189,226,296"
284,The Witness (Wo shi zheng ren),"$17,844,453",53.3%,"$33,461,140"
285,Shadow (2018),"$17,793,210",19.7%,"$90,524,286"
286,Finding Dory,"$17,748,315",46.6%,"$38,052,302"
287,Taken 3,"$17,718,000",55.0%,"$32,200,000"
288,Go Brother!,"$17,686,354",32.4%,"$54,608,418"
289,Di Renjie (Detective Dee and the Mystery of the Phantom Flame),"$17,636,948",40.3%,"$43,710,371"
290,Bounty Hunters,"$17,591,584",55.1%,"$31,911,723"
291,A Quiet Place,"$17,482,241",50.8%,"$34,446,117"
292,A Dog's Purpose,"$17,321,220",19.6%,"$88,226,996"
293,My Old Classmate,"$17,310,000",23.7%,"$73,050,000"
294,Zhong Guo He Huo Ren (American Dreams in China),"$17,210,000",19.9%,"$86,450,000"
295,Bad Genius,"$17,120,463",41.7%,"$41,051,728"
296,Close Friends,"$17,100,000",53.1%,"$32,180,000"
297,Surprise - Journey To The West,"$17,096,380",34.6%,"$49,373,331"
298,Assassin's Creed,"$17,084,989",76.4%,"$22,365,730"
299,Green Book,"$17,033,684",24.0%,"$71,039,621"
300,Hotel Transylvania 3: Summer Vacation,"$16,829,778",52.2%,"$32,222,566"
301,The Last Wish,"$16,814,867",79.6%,"$21,121,675"
302,Old Boys: The Way of the Dragon,"$16,740,000",51.0%,"$32,800,000"
303,Shaolin,"$16,733,601",50.0%,"$33,470,508"
304,Brotherhood of Blades II: The Infernal Battlefield,"$16,602,687",41.6%,"$39,878,718"
305,The Four 3 (2014),"$16,310,000",52.5%,"$31,090,000"
306,The Big Shot,"$16,244,315",29.0%,"$56,040,681"
307,"Boonie Bears, to the Rescue!","$16,200,000",40.6%,"$39,910,000"
308,Boonie Bears: Mystical Winter,"$16,100,000",34.3%,"$47,000,000"
309,Seventh Son,"$16,080,000",58.3%,"$27,560,000"
310,A Good Day to Die Hard,"$16,060,000",50.8%,"$31,620,000"
311,Boonie Bears III,"$15,942,975",35.8%,"$44,544,110"
312,Mission Milano (Wang pai dou wang pai),"$15,907,521",42.1%,"$37,741,786"
313,Qin Ai De Xiao Hai (Dearest),"$15,850,000",31.7%,"$49,944,648"
314,Chi bi (Red Cliff: Part I),"$15,776,327",33.8%,"$46,698,967"
315,When Larry Met Mary,"$15,761,752",56.6%,"$27,859,882"
316,Ex-Files 2: The Backup Strikes Back,"$15,741,179",40.4%,"$38,942,745"
317,Paddington 2,"$15,735,927",48.3%,"$32,555,520"
318,The Secret Life of Pets,"$15,718,490",27.0%,"$58,307,653"
319,The Hunger Games: Mockingjay - Part 2,"$15,717,647",73.0%,"$21,525,450"
320,Inception,"$15,478,486",22.6%,"$68,445,823"
321,Despicable Me 2,"$15,370,000",29.0%,"$52,980,000"
322,Yesterday Once More (Shei de qing chun bu mi mang),"$15,294,911",55.8%,"$27,411,872"
323,Di Renjie zhi shendu longwang (Young Detective Dee),"$15,220,000",15.8%,"$96,400,000"
324,"Hello, Mrs. Money","$15,187,020",17.5%,"$86,828,611"
325,Shanghai Fortress,"$15,095,649",89.2%,"$16,923,671"
326,Bu Er Shen Tan (Badges of Fury),"$14,980,000",33.1%,"$45,300,000"
327,A or B,"$14,974,211",26.7%,"$56,055,948"
328,Oolong Courtyard,"$14,846,819",77.8%,"$19,077,816"
329,Lady of the Dynasty,"$14,830,000",71.8%,"$20,660,000"
330,Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),"$14,822,876",39.0%,"$38,043,199"
331,Passengers (2016),"$14,811,405",32.7%,"$45,279,870"
332,Reset (Ni Shi Ying Jiu),"$14,785,648",49.6%,"$29,836,275"
333,The Maze Runner,"$14,582,665",60.8%,"$23,990,000"
334,Amazing China,"$14,569,137",20.1%,"$72,506,343"
335,The House That Never Dies 2,"$14,527,925",44.8%,"$32,402,205"
336,Hacksaw Ridge,"$14,442,096",23.2%,"$62,124,942"
337,Boonie Bears: Entangled Worlds,"$14,424,419",18.8%,"$76,630,780"
338,Mojin: The Worm Valley,"$14,356,720",64.6%,"$22,230,102"
339,Chasing the Dragon,"$14,234,488",16.3%,"$87,253,052"
341,The Four 2 (2013),"$14,210,000",50.4%,"$28,170,000"
340,Out of Inferno,"$14,210,000",67.2%,"$21,140,000"
342,Wild City,"$14,190,000",59.9%,"$23,670,000"
343,Tomorrowland,"$14,160,000",73.6%,"$19,240,000"
344,Frozen (2013),"$14,110,000",29.2%,"$48,240,000"
345,Wo de zao geng nv you (Meet Miss Anxiety),"$13,940,000",53.8%,"$25,910,000"
346,After Earth,"$13,890,000",40.3%,"$34,480,000"
347,Big Hero 6,"$13,810,000",16.5%,"$83,765,749"
348,Blind Detective,"$13,650,000",42.6%,"$32,061,558"
349,The Hitman's Bodyguard,"$13,575,651",64.2%,"$21,146,741"
350,Call of Heroes,"$13,541,428",54.1%,"$25,033,616"
351,Hung wun chiu yun (My Lucky Star),"$13,540,000",61.6%,"$21,970,000"
352,Our Times (2015),"$13,535,686",24.8%,"$54,499,955"
353,The BFG,"$13,501,122",64.3%,"$20,995,699"
354,Bring Happiness Home,"$13,360,000",55.7%,"$23,980,000"
355,Sweet Sixteen (Xia You Qiao Mu),"$13,308,815",58.4%,"$22,779,899"
356,One Hundred Thousand Bad Jokes,"$13,300,000",71.7%,"$18,550,000"
357,Maze Runner: The Scorch Trials,"$13,281,620",44.9%,"$29,575,097"
358,The Amazing Spider-Man,"$13,233,782",27.1%,"$48,818,164"
359,Toy Story 4,"$13,209,667",45.4%,"$29,101,408"
360,Doraemon: Nobita's Chronicle of the Moon Exploration,"$13,180,883",70.1%,"$18,811,193"
361,The Legend of Hei,"$13,140,774",40.6%,"$32,391,188"
362,Big Brother,"$13,092,020",61.5%,"$21,292,966"
363,Du zhan (Drug War),"$13,070,000",56.4%,"$23,180,000"
364,Inferno,"$13,055,215",67.4%,"$19,371,553"
365,Women Who Flirt (Sajiao Nvren),"$13,050,000",35.5%,"$36,720,000"
366,Monsters University,"$12,990,000",38.5%,"$33,720,000"
367,Coming Home,"$12,980,000",28.2%,"$46,000,000"
368,Life (2017),"$12,962,338",65.2%,"$19,881,127"
369,Rio 2,"$12,960,000",32.9%,"$39,400,000"
370,The Hunger Games: Catching Fire,"$12,950,000",46.4%,"$27,920,000"
371,The White Storm,"$12,940,000",33.6%,"$38,500,000"
372,Sky Hunter,"$12,937,440",27.0%,"$47,995,941"
373,A Chinese Odyssey Part Two: Cinderella,"$12,914,413",49.7%,"$25,960,664"
374,Tonari no Totoro (My Neighbor Totoro),"$12,880,320",49.9%,"$25,798,550"
375,The New King of Comedy,"$12,832,619",13.8%,"$92,796,953"
376,Transformers,"$12,797,171",34.4%,"$37,218,823"
377,My Own Swordsman,"$12,780,525",42.6%,"$30,028,063"
378,Triumph in the Skies,"$12,680,000",51.6%,"$24,590,000"
379,This Is Not What I Expected,"$12,646,812",41.3%,"$30,658,945"
380,Peter Rabbit,"$12,586,062",47.9%,"$26,289,410"
381,"All's Well, Ends Well 2011","$12,521,952",48.2%,"$25,979,570"
382,Dangal,"$12,512,350",6.5%,"$193,050,870"
383,"Chu zi Xi zi Pi zi (The Chef, The Actor, The Scoundrel)","$12,480,000",29.0%,"$42,970,000"
384,Love Off the Cuff,"$12,468,209",48.8%,"$25,531,588"
385,Inside Out,"$12,340,000",80.6%,"$15,314,000"
386,Airpocalypse,"$12,314,399",67.0%,"$18,374,998"
387,Moana,"$12,298,607",37.5%,"$32,797,208"
388,Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen),"$12,230,591",59.4%,"$20,585,130"
389,Harry Potter and the Deathly Hallows (Part One),"$12,220,531",36.8%,"$33,250,471"
390,Capernaum,"$12,217,181",22.5%,"$54,315,149"
391,Legend of the Naga Pearls,"$12,207,900",70.8%,"$17,240,653"
392,Battle: Los Angeles,"$12,196,237",48.4%,"$25,190,840"
393,Finding Mr. Right,"$12,150,000",14.7%,"$82,680,000"
394,Pixels,"$12,140,000",79.3%,"$15,300,000"
395,The Legend of Tarzan,"$12,074,967",26.2%,"$46,152,613"
396,Rise of the Legend,"$12,010,000",41.0%,"$29,290,000"
