Rank,Title,Studio,Worldwide,Domestic,%,Overseas,%,Year^
561,Knight & Day,Fox,$261.9,$76.4,29.2%,$185.5,70.8%,2010
562,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,$261.6,$128.5,49.1%,$133.1,50.9%,2006
563,Total Recall,Sony,$261.3,$119.4,45.7%,$141.9,54.3%,1990^
564,Michael Jackson's This Is It,Sony,$261.2,$72.1,27.6%,$189.1,72.4%,2009
565,Robots,Fox,$260.7,$128.2,49.2%,$132.5,50.8%,2005
566,The Lone Ranger,BV,$260.5,$89.3,34.3%,$171.2,65.7%,2013
567,Super 8,Par.,$260.1,$127.0,48.8%,$133.1,51.2%,2011
568,Mojin: The Lost Legend,WGUSA,$259.4,$1.2,0.5%,$258.1,99.5%,2015
569,Blade Runner 2049,WB,$259.2,$92.1,35.5%,$167.2,64.5%,2017
570,Charlie's Angels: Full Throttle,Sony,$259.2,$100.8,38.9%,$158.3,61.1%,2003
571,Rush Hour 3,NL,$258.0,$140.1,54.3%,$117.9,45.7%,2007
572,The Full Monty,FoxS,$257.9,$46.0,17.8%,$212.0,82.2%,1997
573,Annabelle,WB (NL),$257.0,$84.3,32.8%,$172.8,67.2%,2014
574,The Village,BV,$256.7,$114.2,44.5%,$142.5,55.5%,2004
575,Lost in Hong Kong,WGUSA,$256.3,$1.3,0.5%,$255.0,99.5%,2015
576,Erin Brockovich,Uni.,$256.3,$125.6,49.0%,$130.7,51.0%,2000
577,Halloween (2018),Uni.,$255.5,$159.3,62.4%,$96.1,37.6%,2018
578,Get Out,Uni.,$255.4,$176.0,68.9%,$79.4,31.1%,2017
579,Us,Uni.,$255.1,$175.0,68.6%,$80.1,31.4%,2019
580,Cliffhanger,TriS,$255.0,$84.0,33.0%,$171.0,67.0%,1993
581,Kung Fu Yoga,WGUSA,$254.2,$363k,0.1%,$253.8,99.9%,2017
582,Baahubali 2: The Conclusion,GrtIndia,$254.2,$20.2,7.9%,$234.0,92.1%,2017
583,Babe,Uni.,$254.1,$63.7,25.0%,$190.5,75.0%,1995
584,Men in Black International,Sony,$253.9,$80.0,31.5%,$173.9,68.5%,2019
585,Wild Hogs,BV,$253.6,$168.3,66.3%,$85.4,33.7%,2007
586,High School Musical 3: Senior Year,BV,$252.9,$90.6,35.8%,$162.3,64.2%,2008
587,Hercules,BV,$252.7,$99.1,39.2%,$153.6,60.8%,1997
588,Dark Phoenix,Fox,$252.4,$65.8,26.1%,$186.6,73.9%,2019
589,True Grit,Par.,$252.3,$171.2,67.9%,$81.0,32.1%,2010
590,Bean,Gram.,$251.2,$45.3,18.0%,$205.9,82.0%,1997
591,American Hustle,Sony,$251.2,$150.1,59.8%,$101.1,40.2%,2013
592,You've Got Mail,WB,$250.8,$115.8,46.2%,$135.0,53.8%,1998
593,Enemy of the State,BV,$250.6,$111.5,44.5%,$139.1,55.5%,1998
594,Brother Bear,BV,$250.4,$85.3,34.1%,$165.1,65.9%,2003
595,The Mask of Zorro,Sony,$250.3,$94.1,37.6%,$156.2,62.4%,1998
596,Eragon,Fox,$249.5,$75.0,30.1%,$174.5,69.9%,2006
597,The Ring,DW,$249.3,$129.1,51.8%,$120.2,48.2%,2002
598,The Blair Witch Project,Art.,$248.6,$140.5,56.5%,$108.1,43.5%,1999
599,Unbreakable,BV,$248.1,$95.0,38.3%,$153.1,61.7%,2000
600,Dumb and Dumber,NL,$247.3,$127.2,51.4%,$120.1,48.6%,1994
